event_id,avg_speed,avg_hr,heart_rate_stop,cadence_stop
570,11.05964758,136.3950348,143,85
637,11.06175849,140.8169811,135,84
637,11.06175849,140.8169811,137,82
637,11.06175849,140.8169811,151,83
637,11.06175849,140.8169811,159,83
727,11.06198487,137.8006536,159,82
727,11.06198487,137.8006536,142,89
611,11.06759033,139.5548545,164,83
611,11.06759033,139.5548545,144,83
611,11.06759033,139.5548545,138,84
611,11.06759033,139.5548545,129,81
611,11.06759033,139.5548545,135,83
611,11.06759033,139.5548545,135,85
611,11.06759033,139.5548545,145,83
611,11.06759033,139.5548545,119,83
611,11.06759033,139.5548545,145,83
611,11.06759033,139.5548545,151,83
659,11.06816327,136.5868893,121,81
659,11.06816327,136.5868893,156,84
609,11.07445489,140.9433962,135,88
609,11.07445489,140.9433962,135,84
609,11.07445489,140.9433962,130,84
609,11.07445489,140.9433962,130,83
609,11.07445489,140.9433962,132,84
609,11.07445489,140.9433962,147,84
603,11.0924358,134.8995357,168,83
603,11.0924358,134.8995357,124,83
603,11.0924358,134.8995357,129,82
603,11.0924358,134.8995357,128,84
603,11.0924358,134.8995357,146,85
753,11.09317262,141.4077817,162,81
753,11.09317262,141.4077817,158,80
753,11.09317262,141.4077817,124,83
753,11.09317262,141.4077817,135,82
753,11.09317262,141.4077817,148,83
753,11.09317262,141.4077817,122,81
753,11.09317262,141.4077817,146,84
753,11.09317262,141.4077817,152,88
622,11.09991419,155.4139665,141,84
622,11.09991419,155.4139665,164,83
622,11.09991419,155.4139665,157,83
622,11.09991419,155.4139665,153,84
685,11.11982368,141.6434837,135,83
685,11.11982368,141.6434837,149,83
478,11.13113201,134.6162162,167,83
478,11.13113201,134.6162162,164,82
478,11.13113201,134.6162162,138,82
478,11.13113201,134.6162162,155,82
478,11.13113201,134.6162162,132,82
478,11.13113201,134.6162162,118,82
478,11.13113201,134.6162162,119,81
478,11.13113201,134.6162162,144,100
651,11.14136702,146.0484689,143,84
651,11.14136702,146.0484689,149,85
651,11.14136702,146.0484689,150,83
651,11.14136702,146.0484689,147,87
651,11.14136702,146.0484689,160,87
709,11.14782797,135.7735997,126,83
709,11.14782797,135.7735997,149,87
421,11.14819767,130.8985788,121,78
421,11.14819767,130.8985788,128,81
421,11.14819767,130.8985788,138,80
671,11.17135841,132.0570583,170,86
671,11.17135841,132.0570583,137,80
671,11.17135841,132.0570583,128,81
671,11.17135841,132.0570583,125,84
671,11.17135841,132.0570583,141,82
671,11.17135841,132.0570583,133,84
671,11.17135841,132.0570583,130,84
671,11.17135841,132.0570583,152,83
606,11.17817192,134.6039861,119,84
606,11.17817192,134.6039861,120,85
606,11.17817192,134.6039861,123,83
606,11.17817192,134.6039861,127,83
606,11.17817192,134.6039861,128,84
606,11.17817192,134.6039861,130,85
606,11.17817192,134.6039861,132,84
606,11.17817192,134.6039861,134,84
606,11.17817192,134.6039861,138,86
606,11.17817192,134.6039861,157,85
825,11.18817722,151.7671233,135,82
825,11.18817722,151.7671233,141,82
825,11.18817722,151.7671233,122,83
825,11.18817722,151.7671233,150,88
592,11.19528687,138.4963156,153,82
592,11.19528687,138.4963156,156,82
592,11.19528687,138.4963156,133,83
592,11.19528687,138.4963156,148,83
592,11.19528687,138.4963156,134,83
592,11.19528687,138.4963156,143,83
589,11.20080284,140.4366293,139,81
589,11.20080284,140.4366293,127,81
589,11.20080284,140.4366293,136,80
589,11.20080284,140.4366293,137,82
589,11.20080284,140.4366293,153,82
589,11.20080284,140.4366293,135,82
589,11.20080284,140.4366293,138,82
589,11.20080284,140.4366293,148,82
589,11.20080284,140.4366293,122,84
589,11.20080284,140.4366293,146,86
817,11.22162862,136.4993987,155,82
817,11.22162862,136.4993987,159,83
817,11.22162862,136.4993987,135,84
817,11.22162862,136.4993987,130,83
817,11.22162862,136.4993987,137,82
817,11.22162862,136.4993987,111,83
817,11.22162862,136.4993987,132,89
817,11.22162862,136.4993987,137,86
817,11.22162862,136.4993987,142,83
817,11.22162862,136.4993987,136,84
817,11.22162862,136.4993987,128,83
817,11.22162862,136.4993987,125,84
817,11.22162862,136.4993987,118,83
817,11.22162862,136.4993987,142,84
664,11.2361135,139.7860418,150,82
664,11.2361135,139.7860418,141,85
664,11.2361135,139.7860418,155,83
664,11.2361135,139.7860418,143,83
664,11.2361135,139.7860418,158,84
616,11.24920258,135.8327957,129,83
616,11.24920258,135.8327957,133,82
616,11.24920258,135.8327957,124,84
616,11.24920258,135.8327957,129,83
604,11.25432024,140.9186239,135,83
604,11.25432024,140.9186239,130,83
604,11.25432024,140.9186239,128,83
604,11.25432024,140.9186239,129,85
604,11.25432024,140.9186239,134,84
604,11.25432024,140.9186239,133,83
604,11.25432024,140.9186239,146,89
569,11.25614471,133.8945445,164,84
569,11.25614471,133.8945445,157,83
569,11.25614471,133.8945445,146,83
569,11.25614471,133.8945445,135,84
569,11.25614471,133.8945445,138,83
569,11.25614471,133.8945445,136,83
569,11.25614471,133.8945445,134,85
569,11.25614471,133.8945445,132,83
569,11.25614471,133.8945445,131,83
569,11.25614471,133.8945445,131,84
569,11.25614471,133.8945445,131,83
569,11.25614471,133.8945445,131,83
569,11.25614471,133.8945445,139,84
629,11.26131144,150.9587284,165,83
629,11.26131144,150.9587284,155,83
758,11.26230121,131.2171166,141,83
655,11.2655031,137.9701428,133,82
655,11.2655031,137.9701428,139,84
655,11.2655031,137.9701428,142,83
655,11.2655031,137.9701428,148,83
400,11.27125633,124.564346,160,80
400,11.27125633,124.564346,126,81
400,11.27125633,124.564346,125,79
400,11.27125633,124.564346,117,81
400,11.27125633,124.564346,136,81
400,11.27125633,124.564346,148,80
400,11.27125633,124.564346,145,86
766,11.27306411,145.498579,144,89
468,11.27345822,139.6981379,134,83
625,11.27346261,141.0831522,158,82
625,11.27346261,141.0831522,140,87
625,11.27346261,141.0831522,130,83
625,11.27346261,141.0831522,147,83
761,11.27674496,141.0386013,150,82
699,11.28956561,149.2358739,160,86
745,11.30020813,142.3355177,136,83
745,11.30020813,142.3355177,151,83
707,11.3032142,137.8327039,150,83
707,11.3032142,137.8327039,124,83
707,11.3032142,137.8327039,127,84
707,11.3032142,137.8327039,142,86
769,11.30669739,130.3586767,135,81
769,11.30669739,130.3586767,125,84
769,11.30669739,130.3586767,147,85
607,11.31168527,138.6397466,150,83
607,11.31168527,138.6397466,156,84
607,11.31168527,138.6397466,129,84
607,11.31168527,138.6397466,128,84
607,11.31168527,138.6397466,142,83
607,11.31168527,138.6397466,143,83
607,11.31168527,138.6397466,136,84
607,11.31168527,138.6397466,138,83
713,11.31661761,138.3207237,165,83
713,11.31661761,138.3207237,156,83
713,11.31661761,138.3207237,145,85
713,11.31661761,138.3207237,134,83
713,11.31661761,138.3207237,106,83
713,11.31661761,138.3207237,130,83
713,11.31661761,138.3207237,135,86
713,11.31661761,138.3207237,142,86
713,11.31661761,138.3207237,134,83
713,11.31661761,138.3207237,141,89
549,11.32200646,134.4587222,125,81
549,11.32200646,134.4587222,125,83
549,11.32200646,134.4587222,103,82
549,11.32200646,134.4587222,138,84
353,11.32606439,134.2844542,148,83
353,11.32606439,134.2844542,131,85
353,11.32606439,134.2844542,144,84
443,11.33681893,133.1828645,161,82
443,11.33681893,133.1828645,131,80
443,11.33681893,133.1828645,125,82
443,11.33681893,133.1828645,131,83
568,11.33732169,136.1166961,162,82
568,11.33732169,136.1166961,158,82
568,11.33732169,136.1166961,153,83
568,11.33732169,136.1166961,130,83
568,11.33732169,136.1166961,132,83
568,11.33732169,136.1166961,131,82
568,11.33732169,136.1166961,128,84
568,11.33732169,136.1166961,123,83
568,11.33732169,136.1166961,130,83
568,11.33732169,136.1166961,128,83
802,11.33882533,139.5852824,134,83
802,11.33882533,139.5852824,135,82
599,11.33928836,140.8831397,138,82
599,11.33928836,140.8831397,146,83
599,11.33928836,140.8831397,136,83
599,11.33928836,140.8831397,145,84
599,11.33928836,140.8831397,143,85
599,11.33928836,140.8831397,142,83
599,11.33928836,140.8831397,147,84
599,11.33928836,140.8831397,153,93
599,11.33928836,140.8831397,142,83
599,11.33928836,140.8831397,149,83
639,11.34375738,141.5268435,168,92
639,11.34375738,141.5268435,143,84
639,11.34375738,141.5268435,144,83
639,11.34375738,141.5268435,130,83
656,11.34577291,142.4051891,149,82
656,11.34577291,142.4051891,138,83
656,11.34577291,142.4051891,144,83
656,11.34577291,142.4051891,151,83
656,11.34577291,142.4051891,151,84
656,11.34577291,142.4051891,163,85
832,11.34720803,138.5223325,165,81
832,11.34720803,138.5223325,161,81
832,11.34720803,138.5223325,144,83
832,11.34720803,138.5223325,132,82
832,11.34720803,138.5223325,129,83
832,11.34720803,138.5223325,133,83
832,11.34720803,138.5223325,140,83
762,11.34937454,145.96875,147,82
439,11.3505249,134.8931465,162,83
439,11.3505249,134.8931465,152,83
439,11.3505249,134.8931465,125,83
439,11.3505249,134.8931465,131,85
439,11.3505249,134.8931465,135,84
692,11.351641,129.5729043,134,85
692,11.351641,129.5729043,132,84
692,11.351641,129.5729043,129,82
692,11.351641,129.5729043,130,84
692,11.351641,129.5729043,131,82
692,11.351641,129.5729043,133,87
692,11.351641,129.5729043,127,83
692,11.351641,129.5729043,151,83
740,11.35486946,143.6016742,139,82
774,11.35619574,140.6763314,152,82
774,11.35619574,140.6763314,150,84
700,11.36093856,143.8718549,171,82
700,11.36093856,143.8718549,145,83
310,11.3657009,131.5135422,152,83
