event_id,total_running_time,heart_rate_stop,avg_hr,avg_speed,avg_temp
140,153,160,149.2883379,12.4245157,21
188,153,160,159.9779099,15.06375379,10
73,154,167,159.5405702,13.38063026,0
168,154,160,151.2732278,13.54063317,25
193,154,160,161.2054846,12.37472425,2
465,154,178,132.7483547,11.49108041,3
44,155,150,156.3614953,14.42921688,7
311,155,158,153.5604808,14.03154013,10
437,155,163,122.7234957,10.68763958,11
467,155,168,144.3100102,11.80783495,0
78,156,167,161.5697108,13.00911345,0
144,156,152,154.9451567,13.99220513,24
279,156,169,145.2683616,13.05604322,6
447,156,170,132.3478555,11.74058116,6
703,156,170,141.7186188,11.04527541,17
41,157,161,147.227519,12.54318397,2
82,157,148,155.2078327,13.07001332,-4
366,157,146,151.6804295,13.28709472,33
373,157,164,132.5454545,12.06299561,28
536,157,166,141.4592629,11.81709139,6
539,157,167,155.9655431,13.35438921,9
664,159,150,139.7860418,11.2361135,28
417,160,162,136.3214719,12.10536233,20
471,160,169,149.5601323,12.30951238,6
478,160,167,134.6162162,11.13113201,1
551,160,171,139.232229,11.49736365,1
723,160,160,145.0860821,11.64771456,21
106,161,165,165.5716895,12.14332603,3
172,161,169,155.8322034,13.4239973,16
248,162,163,145.9598863,13.12178698,1
252,162,166,142.3891695,12.61661597,-4
292,162,139,145.2756233,13.42369343,24
570,162,166,136.3950348,11.05964758,15
597,162,158,147.3165171,12.2914424,25
241,163,163,162.3443332,12.76949372,1
459,163,181,149.1891206,12.95406223,-2
289,164,161,143.3810538,12.60505609,23
14,165,132,133.5092177,12.03967713,18
93,165,162,156.086785,12.89582485,5
154,165,122,141.1230931,12.2053919,28
293,165,165,154.1002132,12.77916716,21
509,165,169,159.5567686,12.79447331,2
676,165,147,136.6160355,11.42385157,24
700,166,171,143.8718549,11.36093856,19
476,168,132,139.2009536,12.12095616,3
719,168,178,155.1047516,12.92465054,11
794,168,137,136.7301455,11.03329497,4
111,169,169,164.2467153,13.16230161,7
319,170,164,139.4069952,12.14284781,17
601,170,151,151.5185766,12.03512281,24
545,171,174,152.0648814,13.16030658,6
810,173,161,156.884677,13.65389664,26
65,174,155,144.4270463,9.956165125,-1
110,174,164,156.9107143,14.20249176,16
195,174,190,165.9437593,13.32884815,6
470,174,157,128.9831844,11.04198697,10
484,174,159,135.808958,11.43509726,5
175,175,145,148.86,13.49623862,17
411,175,156,126.723487,12.11841755,20
732,175,167,139.2453245,10.87986337,7
27,176,160,142.3197851,12.18187442,21
705,177,151,144.3242718,12.55562097,24
148,178,139,149.2040956,13.4606015,24
239,178,144,143.7649805,13.2274198,
644,178,131,134.0286275,11.46109976,26
689,179,168,144.0797571,11.52142543,19
232,180,166,144.615493,11.02947718,-25
246,180,162,158.7899878,14.08207326,0
388,181,148,113.0173954,10.33265501,24
213,182,167,147.4979339,11.75777256,9
394,182,139,131.0369108,12.39664191,25
431,182,165,129.8381743,10.48406426,16
618,182,158,135.9792403,11.02112814,23
637,182,135,140.8169811,11.06175849,34
354,183,162,155.9744501,14.66009376,24
567,183,162,140.1416838,12.12138577,5
102,184,165,157.531537,14.04196424,3
116,184,156,157.2700587,13.2847773,15
786,184,169,154.5951009,12.9291769,3
47,186,167,160.3270349,13.46869884,2
251,186,164,159.9406667,11.41667121,-5
458,187,164,163.0935987,9.454793552,-5
834,188,164,157.2769508,13.45272909,16
149,190,162,161.6591745,14.32630629,21
566,190,153,147.3796664,12.86458501,16
785,190,178,145.611138,11.77943535,3
493,192,162,145.5803903,11.84704294,3
714,194,162,152.0839895,12.9531225,3
556,195,175,142.2152847,11.99152638,5
90,196,160,151.6328125,11.6968875,2
96,196,162,163.5007496,13.8260468,8
107,196,163,163.4945726,12.97775593,9
171,196,145,141.1032468,12.69442753,20
311,196,160,153.5604808,14.03154013,10
48,197,185,170.8383838,15.59392727,6
224,198,167,162.8968354,12.3825441,-3
308,198,162,144.3101737,12.60303292,8
686,198,171,143.1550305,12.26827182,15
735,199,164,150.1109906,11.80352408,10
50,200,155,150.2420382,12.97113529,6
480,200,166,147.7496439,11.60891923,8
556,200,174,142.2152847,11.99152638,5
424,203,146,133.2035637,11.91873469,22
576,203,164,147.4588071,11.56513179,14
236,204,166,151.2514286,13.91136136,3
301,205,160,141.4507175,11.53964017,16
301,205,157,141.4507175,11.53964017,16
310,205,152,131.5135422,11.3657009,21
287,206,155,142.0402145,13.38914316,12
165,207,122,147.4274648,13.69418213,19
299,208,158,153.7496635,12.55786018,15
237,209,154,138.6553641,12.05199956,2
275,209,167,140.5686783,11.93234551,5
575,209,163,154.5339196,11.58307688,8
201,210,160,150.1290163,12.54888641,4
730,210,160,141.4448854,11.83667143,12
301,212,182,141.4507175,11.53964017,16
594,213,168,150.4772932,11.49328746,19
52,215,166,152.2789116,13.79562041,2
205,217,166,150.8678663,12.62670848,5
690,217,161,140.9237231,11.80258488,19
597,218,105,147.3165171,12.2914424,25
829,220,165,138.7577065,11.68778841,10
151,221,156,158.156172,12.77093859,30
259,221,166,162.4146341,15.08849447,3
472,221,170,161.2582057,12.87400175,6
4,222,146,149.4106115,12.51918142,
17,222,169,135.2583047,10.10541781,17
99,223,164,156.295082,13.13780462,2
232,223,156,144.615493,11.02947718,-25
481,223,165,155.4838391,13.67780343,11
157,224,61,157.4129646,13.13309456,28
568,224,162,136.1166961,11.33732169,11
586,225,172,136.4125619,11.65649789,12
779,225,162,134.8043947,10.76938526,-4
109,227,161,156.8921371,12.33787658,18
256,227,166,140.150771,12.70206,-4
486,227,164,145.8768376,12.18002195,14
257,228,165,147.5862228,12.0639828,-1
333,228,168,151.2302826,13.80920219,19
99,229,161,156.295082,13.13780462,2
558,229,177,142.004771,11.40661546,6
475,230,148,137.0305677,13.4123738,3
612,232,137,152.6090555,11.82362162,27
142,233,163,163.4546314,16.73681813,21
223,234,165,149.686976,12.9575128,0
377,235,166,136.8225299,11.53318565,24
301,236,168,141.4507175,11.53964017,16
602,236,148,153.4196429,12.20600078,24
645,236,161,144.8565084,12.42341305,19
812,236,136,138.2446853,12.01709112,16
475,237,159,137.0305677,13.4123738,3
581,237,165,141.8521303,12.46778256,9
270,239,165,167.7809446,14.48968734,
625,239,158,141.0831522,11.27346261,29
750,239,166,146.7084779,11.38021398,12
718,240,176,159.2452147,12.76084159,9
74,241,164,159.8856224,14.2933593,11
304,241,165,165.3728949,15.38680417,10
226,242,168,158.4130627,14.21131176,-8
209,243,163,154.1025595,12.07064157,0
262,244,169,145.6017108,13.03849751,9
266,244,156,155.1522601,14.23370626,6
767,245,149,138.8564488,11.83420813,3
9,246,148,153.6259887,12.05757559,15
708,246,170,138.7173469,11.70572557,6
782,246,164,155.4073084,12.82674331,-4
341,247,165,150.940133,13.51946608,15
45,248,156,153.4091125,12.49329853,5
141,248,161,160.4556213,14.40799349,22
454,248,169,144.9427046,11.92273943,3
807,249,174,144.3365931,12.68920505,3
290,251,174,154.6904594,11.93482177,9
472,252,161,161.2582057,12.87400175,6
719,252,186,155.1047516,12.92465054,11
790,252,158,144.8881154,12.26387529,0
155,254,163,158.3825257,14.49656564,24
240,254,175,163.9232082,15.26205563,
821,255,162,138.7921609,11.80433966,14
196,256,164,170.1917695,13.62862829,0
136,257,140,136.8065476,11.92417143,23
435,258,181,169.0320856,12.39204706,6
571,259,168,147.063004,11.83610958,16
28,260,155,152.5938117,14.02277972,12
417,260,158,136.3214719,12.10536233,20
643,261,158,159.8023609,13.22962382,24
216,262,194,165.2325777,14.91045945,10
684,262,173,139.8482232,12.21068708,18
243,263,167,151.7248996,13.3635759,-6
264,264,171,159.351341,16.0655131,5
168,265,157,151.2732278,13.54063317,25
282,265,149,146.4289793,13.58297239,14
706,265,169,138.0301825,11.37442695,13
65,266,160,144.4270463,9.956165125,-1
71,267,158,158.3722067,12.47578994,-8
256,267,157,140.150771,12.70206,-4
325,269,140,145.1473936,11.72351957,21
